                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1087,                0.85889,                 1.2289,                0.45178,                0.20268,                0.23331,                0.13357,                 1.7088,                 1.6701,                 1.5593,             0.00019239,             0.00019239,             0.00019239
                     80,                 1.1702,                0.88802,                 1.2518,                 0.4216,                0.23743,                0.24687,                0.14248,                 1.7234,                 1.6191,                  1.578,             0.00019194,             0.00019194,             0.00019194
                     81,                 1.1702,                0.87615,                 1.2422,                0.47055,                0.21777,                0.24953,                0.15312,                 1.6132,                 1.6011,                 1.5077,             0.00019149,             0.00019149,             0.00019149
                     82,                 1.1054,                0.85507,                 1.2106,                0.43427,                0.21787,                0.24633,                0.14572,                 1.6517,                 1.5922,                 1.5193,             0.00019104,             0.00019104,             0.00019104
                     83,                 1.1003,                0.83649,                 1.2071,                0.46921,                0.22264,                 0.2533,                0.15339,                 1.6452,                 1.6606,                  1.531,             0.00019059,             0.00019059,             0.00019059
                     84,                 1.0989,                0.82975,                 1.2084,                0.52937,                0.23186,                0.26377,                0.16822,                 1.5777,                 1.5165,                 1.5236,             0.00019014,             0.00019014,             0.00019014
                     85,                 1.0643,                0.82306,                 1.1831,                0.53243,                0.23959,                0.26479,                 0.1665,                  1.619,                 1.5863,                 1.5188,             0.00018969,             0.00018969,             0.00018969
                     86,                 1.0687,                0.82144,                 1.1892,                0.46723,                0.21022,                0.22761,                0.13639,                 1.6563,                 1.6899,                  1.549,             0.00018925,             0.00018925,             0.00018925
                     87,                 1.1347,                0.82861,                 1.2008,                0.52188,                0.24931,                0.27379,                0.16929,                 1.5903,                 1.5412,                  1.472,              0.0001888,              0.0001888,              0.0001888
                     88,                 1.1012,                0.81386,                 1.2052,                0.50326,                0.24103,                0.26208,                0.16382,                 1.6038,                 1.5695,                 1.5008,             0.00018835,             0.00018835,             0.00018835
                     89,                 1.0653,                0.79167,                 1.1834,                0.45885,                0.24097,                0.26515,                0.16733,                 1.5805,                 1.5394,                  1.485,              0.0001879,              0.0001879,              0.0001879
                     90,                 1.0683,                0.79601,                 1.1793,                0.46837,                0.22274,                0.24156,                0.14809,                 1.6563,                 1.6146,                 1.5178,             0.00018745,             0.00018745,             0.00018745
                     91,                 1.0626,                0.78725,                 1.1695,                0.40456,                0.24488,                0.26399,                0.16495,                 1.5859,                 1.5447,                 1.5045,               0.000187,               0.000187,               0.000187
                     92,                 1.0218,                0.76951,                 1.1622,                0.45346,                0.24372,                0.27045,                0.16954,                 1.5892,                 1.4755,                 1.4885,             0.00018655,             0.00018655,             0.00018655
                     93,                 1.0256,                0.76547,                 1.1616,                0.44183,                0.23634,                0.26212,                0.16575,                 1.5934,                  1.639,                 1.4955,              0.0001861,              0.0001861,              0.0001861
                     94,                 1.0371,                0.76627,                 1.1602,                0.49295,                 0.2486,                0.26559,                0.16766,                 1.5551,                 1.5229,                 1.4783,             0.00018565,             0.00018565,             0.00018565
                     95,                0.98513,                0.73802,                 1.1403,                0.52687,                0.24458,                0.27915,                0.17548,                 1.5638,                 1.5155,                 1.4634,              0.0001852,              0.0001852,              0.0001852
                     96,                 1.0156,                0.75211,                 1.1347,                0.50056,                0.25148,                 0.2782,                 0.1751,                  1.573,                 1.4721,                 1.4759,             0.00018475,             0.00018475,             0.00018475
