                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.99142,                0.68076,                  1.093,                0.68416,                0.44139,                0.48842,                0.30663,                 1.4754,                 1.7619,                 1.2868,             0.00019702,             0.00019702,             0.00019702
                     81,                0.99628,                0.68207,                 1.0963,                0.69049,                0.42475,                0.48227,                 0.3077,                 1.4764,                 1.6574,                  1.279,             0.00019655,             0.00019655,             0.00019655
                     82,                 0.9967,                0.68361,                 1.1023,                0.71004,                0.44073,                0.47842,                0.30945,                 1.4521,                 1.6233,                 1.2835,             0.00019609,             0.00019609,             0.00019609
                     83,                0.99444,                0.68105,                 1.0826,                  0.735,                0.44259,                0.49087,                0.30534,                 1.5324,                 1.9906,                 1.3296,             0.00019563,             0.00019563,             0.00019563
                     84,                0.99228,                0.67505,                 1.0953,                0.67594,                0.44359,                0.47074,                0.26903,                 1.5752,                 1.8349,                 1.3293,             0.00019517,             0.00019517,             0.00019517
                     85,                0.98734,                0.66157,                  1.085,                0.69373,                0.46104,                0.48727,                0.30737,                  1.473,                 1.8606,                 1.2829,             0.00019471,             0.00019471,             0.00019471
                     86,                0.98797,                0.67616,                 1.0886,                0.49433,                0.51366,                  0.482,                0.29446,                 1.4933,                  1.633,                 1.2918,             0.00019425,             0.00019425,             0.00019425
                     87,                0.99515,                0.68064,                 1.0862,                0.77694,                0.41792,                0.50109,                0.32061,                 1.4447,                  1.631,                 1.2714,             0.00019379,             0.00019379,             0.00019379
                     88,                0.97924,                0.65372,                 1.0806,                0.64311,                0.47586,                 0.4862,                0.30645,                 1.4759,                  1.734,                 1.2972,             0.00019332,             0.00019332,             0.00019332
                     89,                0.97437,                0.65626,                 1.0735,                0.62606,                0.47672,                0.47022,                0.29045,                 1.5394,                 1.9788,                 1.3197,             0.00019286,             0.00019286,             0.00019286
                     90,                0.97321,                0.65105,                 1.0741,                0.69529,                0.45249,                0.50392,                0.32612,                 1.4305,                    1.8,                 1.2669,              0.0001924,              0.0001924,              0.0001924
                     91,                0.97342,                0.64776,                 1.0809,                0.73281,                 0.4374,                 0.4884,                 0.3007,                 1.5102,                 1.7479,                 1.3019,             0.00019194,             0.00019194,             0.00019194
                     92,                0.97349,                0.64989,                  1.079,                0.69988,                0.42574,                0.48635,                0.31761,                 1.4518,                 1.7346,                  1.286,             0.00019148,             0.00019148,             0.00019148
                     93,                0.95774,                0.64154,                 1.0765,                0.72578,                0.45802,                0.49001,                0.31195,                 1.4598,                 1.8019,                 1.2749,             0.00019102,             0.00019102,             0.00019102
                     94,                0.95657,                0.64246,                 1.0693,                0.65879,                0.44639,                0.50794,                0.32669,                 1.4745,                 1.8335,                 1.2864,             0.00019056,             0.00019056,             0.00019056
                     95,                0.96711,                0.65201,                 1.0738,                0.69106,                0.44847,                0.47769,                0.27955,                 1.5823,                 1.9433,                 1.3422,              0.0001901,              0.0001901,              0.0001901
                     96,                0.97489,                0.66226,                 1.0777,                0.77067,                0.45752,                0.52063,                0.33298,                 1.4411,                 1.7206,                 1.2684,             0.00018963,             0.00018963,             0.00018963
                     97,                0.95033,                0.63241,                 1.0714,                0.73322,                0.41542,                0.48417,                0.30085,                 1.4611,                 1.7306,                 1.2936,             0.00018917,             0.00018917,             0.00018917
                     98,                0.95488,                0.63214,                 1.0697,                 0.6308,                0.46503,                0.50793,                0.32332,                 1.4202,                 1.6947,                 1.2667,             0.00018871,             0.00018871,             0.00018871
                     99,                0.94867,                0.61946,                 1.0639,                0.71095,                0.44818,                0.49471,                0.30621,                 1.4895,                  1.738,                 1.2943,             0.00018825,             0.00018825,             0.00018825
                    100,                0.96007,                0.63743,                 1.0672,                 0.7313,                0.40715,                0.50392,                0.31363,                 1.4811,                  1.947,                 1.2988,             0.00018779,             0.00018779,             0.00018779
                    101,                0.95018,                0.62224,                 1.0678,                0.73766,                 0.4297,                0.50136,                0.32116,                 1.4591,                 1.7888,                 1.2653,             0.00018733,             0.00018733,             0.00018733
                    102,                0.93542,                0.62265,                 1.0594,                0.74779,                0.43513,                0.49671,                0.31667,                 1.4665,                  1.635,                 1.2829,             0.00018687,             0.00018687,             0.00018687
                    103,                0.94779,                0.62816,                 1.0571,                0.73356,                0.43673,                0.49835,                0.31554,                 1.4722,                 1.9301,                 1.2886,              0.0001864,              0.0001864,              0.0001864
                    104,                0.94396,                0.63719,                  1.062,                0.69152,                0.41582,                0.46725,                 0.2917,                 1.4751,                 1.8057,                  1.289,             0.00018594,             0.00018594,             0.00018594
                    105,                 0.9429,                0.62916,                 1.0618,                0.58097,                0.48857,                0.49663,                0.31873,                 1.4542,                 1.7827,                 1.2846,             0.00018548,             0.00018548,             0.00018548
                    106,                0.92967,                0.61507,                 1.0549,                0.65769,                 0.4607,                0.52881,                0.34398,                 1.4576,                 1.7844,                 1.2748,             0.00018502,             0.00018502,             0.00018502
                    107,                0.95119,                0.62244,                   1.06,                0.64457,                0.48171,                0.50639,                0.31382,                 1.4824,                 1.7933,                 1.2875,             0.00018456,             0.00018456,             0.00018456
                    108,                0.94544,                0.62353,                 1.0684,                0.69196,                0.43671,                0.50614,                0.31653,                 1.4872,                 1.6877,                 1.2961,              0.0001841,              0.0001841,              0.0001841
                    109,                0.93674,                0.61048,                 1.0501,                 0.7741,                0.41666,                0.49288,                 0.3119,                 1.4677,                 1.6218,                 1.2829,             0.00018364,             0.00018364,             0.00018364
                    110,                0.94659,                 0.6155,                 1.0589,                0.66789,                0.46511,                0.51543,                0.32789,                 1.4785,                 1.7577,                 1.3005,             0.00018318,             0.00018318,             0.00018318
                    111,                0.91378,                 0.6024,                 1.0506,                0.52758,                0.50014,                0.50345,                0.32222,                  1.477,                 1.7432,                 1.2816,             0.00018271,             0.00018271,             0.00018271
                    112,                0.93817,                0.61037,                 1.0518,                0.68889,                0.43452,                0.48806,                 0.3157,                 1.4608,                 1.7685,                 1.2882,             0.00018225,             0.00018225,             0.00018225
                    113,                0.93214,                0.61341,                 1.0501,                0.66755,                0.49373,                0.51388,                 0.3136,                 1.5301,                 1.6705,                 1.3103,             0.00018179,             0.00018179,             0.00018179
                    114,                0.92044,                0.59199,                 1.0437,                0.63309,                0.48854,                0.51115,                0.32953,                 1.4647,                 1.8816,                  1.285,             0.00018133,             0.00018133,             0.00018133
                    115,                 0.9301,                0.60335,                 1.0476,                0.73765,                0.44266,                0.51903,                0.33486,                 1.4767,                 1.7869,                 1.2936,             0.00018087,             0.00018087,             0.00018087
                    116,                0.91382,                0.60187,                 1.0528,                0.63961,                0.48461,                 0.5014,                0.33038,                 1.4667,                 1.7269,                 1.2914,             0.00018041,             0.00018041,             0.00018041
                    117,                0.92803,                0.60517,                 1.0527,                0.68475,                0.43728,                0.50785,                  0.319,                 1.4872,                 1.8114,                 1.2935,             0.00017995,             0.00017995,             0.00017995
                    118,                0.93199,                0.60282,                 1.0496,                0.60496,                0.49016,                0.51233,                0.32344,                 1.4764,                 1.6733,                 1.2869,             0.00017948,             0.00017948,             0.00017948
                    119,                0.91107,                0.59107,                 1.0481,                0.73779,                0.45868,                0.50902,                0.33094,                 1.4626,                  1.753,                 1.2745,             0.00017902,             0.00017902,             0.00017902
                    120,                0.91805,                0.58871,                 1.0419,                0.72208,                0.46649,                0.52155,                0.33692,                 1.4653,                 1.6808,                 1.2919,             0.00017856,             0.00017856,             0.00017856
                    121,                0.90648,                0.58685,                 1.0358,                0.62447,                0.48577,                0.50782,                0.32012,                 1.4616,                 1.7495,                 1.2893,              0.0001781,              0.0001781,              0.0001781
                    122,                0.91338,                0.58318,                 1.0444,                0.73213,                0.42287,                0.48607,                0.29933,                 1.4971,                 1.8971,                 1.3029,             0.00017764,             0.00017764,             0.00017764
                    123,                0.90843,                0.58416,                 1.0338,                0.72778,                0.48663,                 0.5225,                0.32623,                 1.4504,                 1.5685,                  1.277,             0.00017718,             0.00017718,             0.00017718
                    124,                0.90048,                0.58058,                 1.0403,                0.74583,                 0.4376,                0.49578,                0.30903,                 1.4823,                 1.7845,                 1.2827,             0.00017672,             0.00017672,             0.00017672
                    125,                0.88825,                0.56915,                 1.0336,                0.58224,                0.46894,                0.52121,                 0.3369,                 1.4502,                 1.6605,                  1.277,             0.00017626,             0.00017626,             0.00017626
                    126,                0.89818,                0.57913,                 1.0452,                0.66181,                0.45507,                0.50562,                0.32265,                  1.506,                 1.7821,                 1.2987,             0.00017579,             0.00017579,             0.00017579
                    127,                0.90075,                0.57359,                 1.0315,                0.64975,                 0.4639,                0.50087,                0.31877,                 1.4532,                 1.7326,                 1.2891,             0.00017533,             0.00017533,             0.00017533
                    128,                0.90244,                0.57427,                 1.0394,                0.55558,                0.49789,                 0.5102,                0.32762,                 1.4684,                 1.6224,                 1.2868,             0.00017487,             0.00017487,             0.00017487
                    129,                0.90154,                0.57127,                 1.0366,                0.55852,                0.49685,                0.51692,                0.33239,                 1.4458,                 1.7526,                 1.2667,             0.00017441,             0.00017441,             0.00017441
                    130,                0.89494,                0.57299,                 1.0345,                0.60951,                0.45316,                0.51447,                0.32396,                 1.4787,                  1.718,                 1.2949,             0.00017395,             0.00017395,             0.00017395
                    131,                 0.8888,                0.56454,                 1.0333,                 0.6713,                0.45337,                0.51254,                0.33125,                 1.4534,                 1.6869,                  1.291,             0.00017349,             0.00017349,             0.00017349
