                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.7734,                 1.6635,                 1.4779,                0.40478,                0.06488,                0.05729,                 0.0235,                 2.3272,                 2.9944,                 1.5842,             0.00089506,             0.00089506,             0.00089506
                     56,                 1.7442,                  1.675,                  1.465,                0.47846,                0.07472,                0.06318,                0.02768,                 2.1476,                 2.9109,                 1.5484,             0.00089308,             0.00089308,             0.00089308
                     57,                 1.7091,                 1.6533,                 1.4475,                 0.4612,                0.10047,                0.07145,                0.03249,                 2.1564,                 2.8272,                 1.5606,              0.0008911,              0.0008911,              0.0008911
                     58,                 1.6642,                 1.5852,                  1.427,                 0.4437,                0.10185,                0.07451,                0.03506,                 2.0855,                  2.786,                 1.5198,             0.00088912,             0.00088912,             0.00088912
                     59,                 1.7099,                 1.6203,                 1.4329,                0.50438,                0.07929,                0.06599,                0.02869,                 2.1191,                 2.8803,                 1.5483,             0.00088714,             0.00088714,             0.00088714
                     60,                 1.6793,                 1.6958,                  1.431,                0.46954,                0.07769,                0.07668,                0.03527,                  2.251,                 2.8494,                 1.6097,             0.00088516,             0.00088516,             0.00088516
                     61,                 1.6116,                 1.5361,                 1.4347,                0.47026,                0.08319,                0.08156,                0.03716,                 2.1846,                 2.8163,                 1.5888,             0.00088318,             0.00088318,             0.00088318
                     62,                 1.6728,                 1.5981,                 1.4282,                0.43726,                0.05513,                0.05535,                0.02508,                 2.2822,                 3.0837,                 1.6059,              0.0008812,              0.0008812,              0.0008812
                     63,                 1.5898,                 1.5248,                 1.3755,                0.44178,                0.06236,                0.05797,                0.02698,                 2.2485,                 2.9333,                 1.6034,             0.00087922,             0.00087922,             0.00087922
                     64,                 1.6315,                 1.5208,                 1.4016,                0.46037,                0.12515,                0.07644,                0.03679,                 2.2014,                 2.6652,                 1.5857,             0.00087724,             0.00087724,             0.00087724
